"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
1.692697390E-1,-∞
2.749145310E-1,-∞
4.794940100E-1,-3.575850785E1
6.725192700E-1,-3.742335906E1
8.726110930E-1,-4.373887945E1
1.073802551E0,5.426416022E1
1.272625312E0,4.965155914E1
1.472805676E0,4.592750887E1
1.671884791E0,4.515465474E1
1.871578801E0,4.279345026E1
2.072150832E0,4.157886194E1
2.272923124E0,4.181397920E1
2.472379322E0,4.245442444E1
2.671553488E0,4.137110332E1
2.872801978E0,4.168237787E1
3.074070832E0,4.105200629E1
3.275413748E0,4.095183117E1
3.474567082E0,4.358601347E1
3.671450675E0,4.156866503E1
3.873684165E0,4.109070948E1
4.070858383E0,4.225467965E1
4.270306352E0,4.152146244E1
4.473449633E0,4.171969707E1
4.673141664E0,4.187070877E1
4.871817341E0,4.244274193E1
5.071410831E0,4.199944768E1
5.205074008E0,4.188913260E1
