"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
1.644432290E-1,-∞
2.669450520E-1,-∞
4.700801040E-1,-1.608403414E1
6.651410940E-1,-2.003097027E1
8.663443230E-1,-3.047681578E1
1.068105833E0,-4.037203247E1
1.168552291E0,5.555645056E1
1.370111822E0,4.733961441E1
1.573331614E0,4.140961801E1
1.764020312E0,4.122573074E1
1.966015572E0,3.848243082E1
2.080420989E0,3.901795481E1
2.264875416E0,3.770879604E1
2.464203749E0,4.037965537E1
2.664128332E0,3.836804940E1
2.864706457E0,8.899393372E1
3.063936405E0,8.434399246E1
3.267260624E0,8.592335992E1
3.464408488E0,8.627307929E1
3.664109113E0,8.239182164E1
3.864738853E0,8.163534530E1
4.064336092E0,8.039765688E1
4.264285728E0,7.904519461E1
4.463852446E0,7.796669191E1
4.665443175E0,7.748221746E1
4.865393904E0,8.364772722E1
5.065389894E0,8.383563382E1
5.264380675E0,8.400869064E1
5.464169633E0,8.344733503E1
5.665601352E0,8.229204224E1
5.780390727E0,8.049085040E1
