studente,sensore,valore,luogo,data_ora
emanuele,luce,36.28,aula01,2026-05-10 20:22:27
roberto,rumore,-35.76,aula03,2026-05-10 21:37:41
roberto,rumore,-37.42,aula03,2026-05-10 21:37:41
roberto,rumore,-43.74,aula03,2026-05-10 21:37:41
roberto,rumore,54.26,aula03,2026-05-10 21:37:41
roberto,rumore,49.65,aula03,2026-05-10 21:37:41
roberto,rumore,45.93,aula03,2026-05-10 21:37:41
roberto,rumore,45.15,aula03,2026-05-10 21:37:41
roberto,rumore,42.79,aula03,2026-05-10 21:37:41
roberto,rumore,41.58,aula03,2026-05-10 21:37:41
roberto,rumore,41.81,aula03,2026-05-10 21:37:41
roberto,rumore,42.45,aula03,2026-05-10 21:37:41
roberto,rumore,41.37,aula03,2026-05-10 21:37:41
roberto,rumore,41.68,aula03,2026-05-10 21:37:41
roberto,rumore,41.05,aula03,2026-05-10 21:37:41
roberto,rumore,40.95,aula03,2026-05-10 21:37:41
roberto,rumore,43.59,aula03,2026-05-10 21:37:41
roberto,rumore,41.57,aula03,2026-05-10 21:37:41
roberto,rumore,41.09,aula03,2026-05-10 21:37:41
roberto,rumore,42.25,aula03,2026-05-10 21:37:41
roberto,rumore,41.52,aula03,2026-05-10 21:37:41
roberto,rumore,41.72,aula03,2026-05-10 21:37:41
roberto,rumore,41.87,aula03,2026-05-10 21:37:41
roberto,rumore,42.44,aula03,2026-05-10 21:37:41
roberto,rumore,42.0,aula03,2026-05-10 21:37:41
roberto,rumore,41.89,aula03,2026-05-10 21:37:41
rita,luce,61.28,aula06,2026-05-12 20:48:16
rita,luce,19.95,aula06,2026-05-12 20:48:16
rita,luce,41.36,aula06,2026-05-12 20:48:16
rita,luce,10.71,aula06,2026-05-12 20:48:16
manuel,rumore,-13.84,aula04,2026-05-12 20:53:25
manuel,rumore,-16.48,aula04,2026-05-12 20:53:25
manuel,rumore,-13.3,aula04,2026-05-12 20:53:25
manuel,rumore,-17.63,aula04,2026-05-12 20:53:25
manuel,rumore,58.9,aula04,2026-05-12 20:53:25
manuel,rumore,62.18,aula04,2026-05-12 20:53:25
manuel,rumore,60.67,aula04,2026-05-12 20:53:25
manuel,rumore,62.39,aula04,2026-05-12 20:53:25
manuel,rumore,62.58,aula04,2026-05-12 20:53:25
manuel,rumore,58.94,aula04,2026-05-12 20:53:25
manuel,rumore,58.91,aula04,2026-05-12 20:53:25
manuel,rumore,58.91,aula04,2026-05-12 20:53:25
Marco,rumore,-16.08,aula05,2026-05-19 20:26:39
Marco,rumore,-20.03,aula05,2026-05-19 20:26:39
Marco,rumore,-30.48,aula05,2026-05-19 20:26:39
Marco,rumore,-40.37,aula05,2026-05-19 20:26:39
Marco,rumore,55.56,aula05,2026-05-19 20:26:39
Marco,rumore,47.34,aula05,2026-05-19 20:26:39
Marco,rumore,41.41,aula05,2026-05-19 20:26:39
Marco,rumore,41.23,aula05,2026-05-19 20:26:39
Marco,rumore,38.48,aula05,2026-05-19 20:26:39
Marco,rumore,39.02,aula05,2026-05-19 20:26:39
Marco,rumore,37.71,aula05,2026-05-19 20:26:39
Marco,rumore,40.38,aula05,2026-05-19 20:26:39
Marco,rumore,38.37,aula05,2026-05-19 20:26:39
Marco,rumore,88.99,aula05,2026-05-19 20:26:39
Marco,rumore,84.34,aula05,2026-05-19 20:26:39
Marco,rumore,85.92,aula05,2026-05-19 20:26:39
Marco,rumore,86.27,aula05,2026-05-19 20:26:39
Marco,rumore,82.39,aula05,2026-05-19 20:26:39
Marco,rumore,81.64,aula05,2026-05-19 20:26:39
Marco,rumore,80.4,aula05,2026-05-19 20:26:39
Marco,rumore,79.05,aula05,2026-05-19 20:26:39
Marco,rumore,77.97,aula05,2026-05-19 20:26:39
Marco,rumore,77.48,aula05,2026-05-19 20:26:39
Marco,rumore,83.65,aula05,2026-05-19 20:26:39
Marco,rumore,83.84,aula05,2026-05-19 20:26:39
Marco,rumore,84.01,aula05,2026-05-19 20:26:39
Marco,rumore,83.45,aula05,2026-05-19 20:26:39
Marco,rumore,82.29,aula05,2026-05-19 20:26:39
Marco,rumore,80.49,aula05,2026-05-19 20:26:39
Andrea,luce,0.0,aula02,2026-05-19 20:31:52
Andrea,luce,0.0,aula02,2026-05-19 20:31:52
Andrea,luce,0.0,aula02,2026-05-19 20:31:52
Andrea,luce,121.5,aula02,2026-05-19 20:31:52
Andrea,luce,161.97,aula02,2026-05-19 20:31:52
Andrea,luce,138.9,aula02,2026-05-19 20:31:52
Andrea,luce,104.27,aula02,2026-05-19 20:31:52
Andrea,luce,118.03,aula02,2026-05-19 20:31:52
Andrea,luce,18.47,aula02,2026-05-19 20:31:52
